country,year,net
Finland,1996,20289146
Norway,2008,58648457
Australia,2006,27058214
Germany,1999,530422355
Switzerland,2006,43757262
Spain,2000,59684269
Denmark,2001,77063923
New Zealand,2003,5429394
Italy,2006,28923679
Italy,1998,24433295
Sweden,1995,233739645
Switzerland,2000,128961864
United Kingdom,2003,838243526
Italy,2002,31576918
Belgium,1996,25987887
United Kingdom,2008,788164298
New Zealand,1995,1551034
Ireland,2004,23980282
Netherlands,1999,55292716
Sweden,2000,68464897
Switzerland,2007,51309531
Austria,2005,17743081
Denmark,1999,75309242
Australia,1998,-73130323
Luxembourg,2006,9045047
Austria,1997,18810672
Norway,1997,71998190
Australia,2000,115957719
United Kingdom,1996,934520515
Greece,2005,3084323
Portugal,2007,4973178
Austria,2003,57940744
Australia,2005,28927690
Italy,1997,11342151
Australia,2001,99427776
Denmark,2007,21329239
Italy,2001,61884442
Portugal,2001,4477740
Ireland,2003,27083746
Japan,1995,2880751774
Spain,1999,79380361
Ireland,2006,28942598
Italy,1996,26143275
Canada,1998,385748294
Germany,1998,323280491
Canada,1997,114731583
Austria,2007,11550522
Denmark,2006,10170167
Germany,1997,782428714
Ireland,2000,-163369285
France,1997,181377579
Canada,2006,60308595
Denmark,1998,15650457
United Kingdom,1999,847273116
Canada,2007,62686742
United Kingdom,1997,734365792
Sweden,2001,95729319
Luxembourg,2005,13121625
Ireland,2002,-249268960
Australia,1995,-256495729
Sweden,2006,48832575
Sweden,2007,45890520
Italy,1995,1397467126
Netherlands,2008,69615673
Austria,1996,31429517
Portugal,2000,2738129
United Kingdom,2004,879595860
Portugal,2005,2827761
Australia,1996,80468022
Greece,2006,2803352
Austria,2001,-107064953
Japan,1998,4486462107
Portugal,2006,2556983
Finland,2007,19522990
France,1995,184288339
Germany,1996,474378180
Portugal,2004,2805269
Ireland,2005,28639372
Greece,2004,875060
Australia,1999,87775767
Finland,1997,28181494
Austria,1999,27735866
Switzerland,2001,93682742
Sweden,2002,48750953
Sweden,1996,142391886
Australia,1997,99085271
Switzerland,1999,104482040
Finland,2001,17586870
Denmark,2005,125145775
United Kingdom,2005,822343669
Austria,2000,41623882
Canada,2001,349119993
Sweden,2004,58723484
Luxembourg,2004,10034092
Finland,2002,35865984
Sweden,2003,109071656
New Zealand,2006,4390620
Denmark,1996,244013860
Portugal,1999,2099809
Japan,1996,3905453074
Austria,2002,-185292701
New Zealand,2007,4179628
France,2007,401771684
Finland,2003,19462895
Finland,2000,23911436
Japan,2001,1017504389
Belgium,1999,30505209
Finland,2004,23784055
Greece,2003,9823209
Denmark,2004,25482007
Finland,1998,10099793
New Zealand,2004,5342910
Finland,1999,17111953
Denmark,2002,91324907
New Zealand,2005,5156674
Denmark,2000,37463179
Switzerland,1995,37875588
Luxembourg,2001,4867259
Portugal,2003,1051124
Greece,2002,3051811
New Zealand,2008,4836516
Spain,1996,41887270
Luxembourg,2002,-129423862
Spain,1995,24737384
Finland,1995,20700602
Portugal,1996,331133
Luxembourg,2003,830472
Portugal,1998,100751
Austria,1995,2349112
Portugal,1997,344667
Sweden,1994,171450490
Canada,1985,146523445
Denmark,1993,67062860
Sweden,1992,272478628
Netherlands,1994,269718206
Belgium,1994,26867841
Japan,1973,938965880
Japan,1978,1429326640
Netherlands,1992,269752132
United Kingdom,1992,1055458482
Sweden,1983,136226862
Italy,1994,-499186454
Switzerland,1976,43577287
Australia,1994,-259227185
France,1994,242597753
Norway,1989,51903997
United Kingdom,1987,829894066
Italy,1991,138712028
Canada,1988,149433255
United Kingdom,1994,297003626
Japan,1985,2255951382
Germany,1982,853843929
France,1991,75995551
Switzerland,1991,157754122
Japan,1988,3320238368
Sweden,1993,117438835
Italy,1988,116403581
Denmark,1994,110637370
Switzerland,1977,111194695
Japan,1993,2494054534
Japan,1986,1211102769
Canada,1990,146349000
Switzerland,1975,103204755
Japan,1979,1014747194
Sweden,1986,198445181
Netherlands,1981,270695825
Denmark,1980,-7702955
Germany,1983,494657126
Italy,1990,136489843
Netherlands,1993,213700000
France,1990,586988135
Finland,1993,15643128
Canada,1987,331152346
United States,1975,944272511
Norway,1981,-79811922
Japan,1977,1479116934
Japan,1991,4702296751
Germany,1985,1590619838
France,1992,220827059
Netherlands,1984,192857428
Switzerland,1986,35598036
Canada,1983,148016945
Italy,1992,170049742
Germany,1980,654031054
Switzerland,1979,67821487
Finland,1983,-67021408
Canada,1980,-392410890
Belgium,1979,30801519
Australia,1980,-31218470
Italy,1989,112626078
Canada,1982,-82237660
Denmark,1981,215721283
Sweden,1981,127064537
Australia,1981,-729222174
France,1981,156535931
Japan,1981,2488336515
Sweden,1977,143468255
