country,year,net
Saudi Arabia,2003,-8735630
South Africa,2003,-608581390
Saudi Arabia,2005,-9206877
Colombia,1997,-94226174
Brazil,2003,-779392718
Slovenia,1998,-8484412
India,2002,-2324315788
South Africa,2002,-644990736
Thailand,1999,-3761639876
Saudi Arabia,2004,-12603354
South Africa,1997,-694290770
Saudi Arabia,1996,-2409008
Slovenia,2000,-32556545
Saudi Arabia,2002,-2651835
Slovenia,1997,-7858148
Korea,1998,-10793650
Slovenia,1995,-7405043
Slovenia,2001,-13913044
Korea,1995,-3947605
Slovenia,2002,-7663650
Cyprus,1996,-17809922
Cyprus,1995,-1233692
Taiwan,1996,-9333721
Slovenia,1999,-12831539
Taiwan,1995,-2561779
Slovenia,1996,-90121406
United Arab Emirates,1995,-1579978
Saudi Arabia,1998,-1348961
Saudi Arabia,1997,-2120366
Qatar,1995,-346430
Saudi Arabia,1995,-7397882
Qatar,1999,-491169
Lithuania,2002,-25362242
Estonia,1997,-8307811
Latvia,2000,-14205663
Poland,2002,-479506516
Lithuania,2004,-30341902
Slovak Republic,2000,-24767414
Korea,2003,-117959852
Estonia,1999,-9201870
Czech Republic,2004,-41237106
Latvia,2004,-15622106
Korea,2004,-142941011
Estonia,1995,-18418713
Kuwait,2000,-959746
Estonia,2000,-16010329
Lithuania,1999,-12053667
Poland,1998,-338026840
Slovenia,2003,-6291746
Cyprus,1999,-19380977
Cyprus,2000,-5189473
United Arab Emirates,2004,-3451690
Qatar,1998,-582329
Slovenia,2004,-12414136
Latvia,2002,-23562554
Hungary,1999,-26274654
Cyprus,1998,-563689
Latvia,1996,-25044880
Estonia,2004,-19139015
Cyprus,2003,-9421124
Estonia,2003,-15925093
Lithuania,2000,-16836580
Lithuania,1997,-20435390
United Arab Emirates,1997,-1002901
Cyprus,2001,-26263860
Kuwait,1997,-530951
Qatar,2000,-673904
Slovak Republic,2002,-35860783
Latvia,1997,-22485213
Qatar,2004,-1458916
Cyprus,2004,-24632806
Latvia,1999,-10570801
United Arab Emirates,1996,-1038083
Kuwait,2004,-2097489
Qatar,2003,-324759
Qatar,1996,-836714
Taiwan,1998,-876129
Qatar,2001,-771977
United Arab Emirates,2003,-2325618
Cyprus,1997,-9602634
United Arab Emirates,2001,-2140111
United Arab Emirates,1998,-461121
Kuwait,2002,-3038480
Qatar,2002,-220245
Slovak Republic,1998,-22763026
United Arab Emirates,1999,-595520
Kuwait,1999,-868779
Taiwan,2004,-17888290
United Arab Emirates,2000,-628944
United Arab Emirates,2002,-1783343
Cyprus,2002,-23150596
Kuwait,2003,-819946
Taiwan,2003,-15103689
Taiwan,1997,-2454079
Slovak Republic,2004,-33775543
Slovak Republic,2003,-41479968
Taiwan,2001,-13689330
Slovak Republic,1999,-132187615
Slovak Republic,1997,-219387257
Estonia,1994,-25652518
Lithuania,1994,-28739967
Korea,1973,-1363706959
Korea,1978,-801254989
South Africa,1992,-234490451
Romania,1992,-174756620
South Africa,1987,-105825534
Latvia,1994,-28380386
Chile,1982,-25718071
Latvia,1993,-52648796
Chile,1977,-2568149
Estonia,1992,-16023398
India,1975,-3000656166
Brazil,1979,-167462062
Korea,1975,-299226023
Qatar,1994,-1252342
Slovak Republic,1994,-52553361
Lithuania,1992,-8257205
India,1979,-1622748901
Brazil,1973,-312075045
Thailand,1973,-206363405
India,1974,-3697747278
Chile,1976,-155551297
Colombia,1977,-67799905
Colombia,1973,-549944785
Brazil,1976,-83580485
Cyprus,1985,-39214175
Chile,1979,-49451759
India,1973,-2285256534
Colombia,1974,-203545814
Colombia,1976,-143082677
Chile,1980,-17218386
Brazil,1978,-151531351
Poland,1989,-2608739881
South Africa,1990,-271828896
South Africa,1991,-64650922
Colombia,1978,-54438681
Korea,1977,-418471898
Colombia,1979,-15388003
Brazil,1975,-100725686
United Arab Emirates,1994,-9485289
Saudi Arabia,1994,-5682814
Slovenia,1994,-12375582
Lithuania,1993,-73709134
Korea,1979,-146708076
Chile,1973,-88056078
Thailand,1974,-867668418
Chile,1981,-24802202
Chile,1975,-365408442
Cyprus,1987,-29088415
South Africa,1989,-320399942
Latvia,1991,-398476
United Arab Emirates,1985,-136260119
Cyprus,1994,-46104382
Brazil,1974,-306601048
Korea,1974,-1455639048
Chile,1974,-257689227
Chile,1983,-33869655
Thailand,1975,-333639956
Poland,1985,-1014259163
United Arab Emirates,1983,-598545
Cyprus,1990,-11768247
Estonia,1993,-38337840
Korea,1976,-938952566
Lithuania,1991,-455029
Korea,1993,-3157283
United Arab Emirates,1973,-65097
Cyprus,1979,-15837039
Cyprus,1982,-31348629
Kuwait,1973,-325483
Cyprus,1974,-16432279
Estonia,1991,-990684
Romania,1989,-5092048
Colombia,1975,-145779156
Cyprus,1981,-110234644
Hungary,1989,-1482250
Chile,1978,-4418418
Saudi Arabia,1979,-12014220
Cyprus,1976,-31022257
Romania,1991,-2904763
Cyprus,1973,-9613414
Cyprus,1978,-46647
Korea,1992,-3337566
Latvia,1990,-543060
Poland,1988,-11464751
Cyprus,1975,-5864941
Cyprus,1989,-32612810
Kuwait,1990,-1568
Slovenia,1992,-10624910
Qatar,1989,-2949100
United Arab Emirates,1980,-174742
United Arab Emirates,1977,-3599299
Kuwait,1985,-524410
Poland,1986,-7204596
United Arab Emirates,1982,-936588
United Arab Emirates,1981,-1813286
United Arab Emirates,1984,-505928
United Arab Emirates,1987,-131760270
South Africa,1988,-110849
Saudi Arabia,1973,-65097
Czech Republic,1990,-549039
Slovak Republic,1993,-9121048
Taiwan,1974,-115048
Taiwan,1991,-5446049
Taiwan,1977,-163198
South Africa,2010,-971208512
Saudi Arabia,2008,-348667
Saudi Arabia,2010,-352548
Saudi Arabia,2009,-327156
Saudi Arabia,2011,-282125
Hungary,2010,-14132
India,2010,-3826639675
Brazil,2011,-1013210831
Chile,2011,-63814172
South Africa,2011,-943390545
Thailand,2011,-196842375
Colombia,2011,-749156157
India,2011,-3652445742
Brazil,2012,-2443208137
Chile,2012,-72801720
Colombia,2012,-1009768225
India,2012,-4970365576
South Africa,2012,-955734671
Thailand,2012,-333622409
Colombia,2013,-1039328005
Chile,2013,-302293325
India,2013,-4550646147
South Africa,2013,-1350212256
Thailand,2013,-259915985
Brazil,2013,-703048320
